CH1 (V)	CH2 (V)	CH3 (V)
-0.000	-14.579	13.770
-0.002	-14.580	13.770
-0.001	-14.579	13.771
-0.000	-14.579	13.770
-0.000	-14.579	13.771
0.000	-14.579	13.770
0.000	-14.579	13.771
-0.002	-14.581	13.771
-0.002	-14.579	13.772
-0.000	-14.581	13.772
-0.001	-14.581	13.772
-0.000	-14.579	13.771
-0.002	-14.579	13.771
-0.001	-14.581	13.768
-0.002	-14.579	13.771
-0.001	-14.580	13.773
-0.001	-14.579	13.771
-0.001	-14.579	13.772
-0.002	-14.580	13.771
-0.001	-14.579	13.771
-0.001	-14.579	13.771
-0.002	-14.579	13.773
-0.001	-14.580	13.773
-0.001	-14.579	13.772
-0.000	-14.580	13.770
0.000	-14.579	13.771
-0.001	-14.579	13.771
-0.001	-14.579	13.773
-0.002	-14.581	13.771
-0.001	-14.579	13.770
-0.000	-14.579	13.771
-0.000	-14.578	13.771
-0.002	-14.579	13.771
-0.001	-14.580	13.770
-0.000	-14.580	13.770
0.000	-14.578	13.771
-0.000	-14.580	13.771
0.000	-14.579	13.770
-0.000	-14.579	13.770
-0.001	-14.581	13.769
