CH1 (V)	CH2 (V)	CH3 (V)
15.244	-14.579	-0.727
15.245	-14.580	-0.725
15.244	-14.580	-0.725
15.245	-14.579	-0.724
15.246	-14.579	-0.725
15.244	-14.579	-0.724
15.245	-14.578	-0.724
15.246	-14.579	-0.724
15.245	-14.578	-0.723
15.246	-14.577	-0.723
15.246	-14.579	-0.723
15.247	-14.578	-0.724
15.246	-14.578	-0.721
15.246	-14.579	-0.723
15.245	-14.579	-0.724
15.245	-14.578	-0.724
15.246	-14.577	-0.723
15.245	-14.578	-0.724
15.245	-14.578	-0.722
15.245	-14.578	-0.724
15.247	-14.578	-0.723
15.246	-14.579	-0.723
15.248	-14.577	-0.722
15.245	-14.577	-0.723
15.245	-14.578	-0.722
15.247	-14.578	-0.723
15.246	-14.577	-0.724
15.246	-14.577	-0.724
15.247	-14.579	-0.724
15.247	-14.578	-0.724
15.247	-14.578	-0.723
15.246	-14.578	-0.724
15.245	-14.578	-0.724
15.245	-14.578	-0.725
15.247	-14.577	-0.722
15.247	-14.577	-0.724
15.247	-14.577	-0.722
15.246	-14.577	-0.722
15.247	-14.578	-0.724
15.247	-14.578	-0.724
