Time (S)	CHA (V)	CH1 (V)
6.600	0.251	6.754
6.625	0.251	6.802
6.650	0.251	6.831
6.675	0.251	6.854
6.700	0.252	6.859
6.725	0.252	6.882
6.751	0.251	6.871
6.775	0.251	6.884
6.801	0.251	6.871
6.826	0.251	6.916
6.850	0.251	6.937
6.875	0.251	6.929
6.900	0.001	6.918
6.926	0.001	6.837
6.950	0.001	6.766
6.975	0.001	6.685
7.001	0.001	6.637
7.025	0.001	6.543
7.050	0.001	6.471
7.075	0.001	6.395
7.100	0.001	6.314
7.125	0.001	6.239
7.152	0.001	6.167
7.175	0.001	6.102
7.200	0.001	6.044
7.225	0.001	5.966
7.250	0.001	5.918
7.275	0.001	5.847
7.301	0.001	5.773
7.326	0.001	5.708
7.350	0.001	5.671
7.376	0.001	5.603
7.400	0.001	5.484
7.426	0.001	5.416
7.450	0.001	5.377
7.476	0.001	5.287
7.500	0.001	5.272
7.525	0.001	5.176
7.551	0.001	5.076
7.575	0.002	5.024
7.601	0.001	4.951
7.625	0.001	4.933
7.650	0.001	4.832
7.675	0.001	4.759
7.700	0.001	4.710
7.725	0.002	4.686
7.751	0.001	4.573
7.775	0.001	4.495
7.800	0.001	4.491
7.825	0.001	4.358
7.850	0.001	4.305
7.875	0.001	4.283
7.900	0.001	4.166
7.926	0.001	4.116
7.950	0.001	4.099
7.975	0.001	3.993
8.001	0.001	3.885
8.025	0.001	3.869
8.051	0.001	3.801
8.075	0.001	3.765
8.100	0.001	3.699
8.125	0.001	3.603
8.150	0.001	3.534
8.177	0.001	3.454
8.201	0.001	3.418
8.225	0.001	3.344
8.251	0.001	3.335
8.275	0.001	3.245
8.300	0.001	3.215
8.325	0.001	3.108
8.350	0.001	3.090
8.375	0.001	3.001
8.400	0.001	2.962
8.425	0.001	2.888
8.451	0.001	2.857
8.475	0.001	2.819
8.501	0.002	2.757
8.526	0.001	2.726
8.550	0.001	2.659
8.575	0.001	2.571
8.601	0.001	2.520
8.626	0.001	2.484
8.650	0.001	2.472
8.675	0.001	2.355
8.701	0.001	2.319
8.725	0.001	2.281
8.751	0.001	2.223
8.775	0.002	2.150
8.800	0.001	2.114
8.825	0.001	2.051
8.850	0.001	2.006
8.875	0.001	1.966
8.901	0.001	1.899
8.925	0.001	1.851
8.950	0.001	1.836
8.975	0.001	1.734
9.000	0.001	1.715
9.025	0.001	1.637
9.050	0.001	1.640
9.075	0.001	1.542
9.100	0.001	1.513
9.125	0.001	1.444
9.151	0.001	1.422
9.175	0.001	1.350
9.201	0.001	1.323
9.225	0.001	1.267
9.251	0.001	1.212
9.275	0.001	1.173
9.301	0.001	1.132
9.325	0.001	1.071
9.350	0.001	1.053
9.375	0.001	0.978
9.401	0.251	1.023
9.425	0.251	1.320
9.450	0.251	1.619
9.476	0.251	1.884
