CH1 (V)	CH2 (V)	CH3 (V)
-13.763	-13.762	13.713
-13.763	-13.762	13.713
-13.763	-13.762	13.713
-13.764	-13.761	13.713
-13.763	-13.761	13.714
-13.763	-13.761	13.714
-13.765	-13.761	13.713
-13.762	-13.761	13.713
-13.552	-13.550	13.715
-13.482	-13.480	13.717
-13.340	-13.338	13.717
-13.201	-13.201	13.719
-12.991	-12.989	13.720
-12.815	-12.815	13.721
-12.813	-12.812	13.722
-12.746	-12.744	13.722
-12.567	-12.566	13.725
-12.534	-12.532	13.723
-12.429	-12.428	13.723
-12.219	-12.218	13.727
-12.042	-12.041	13.727
-11.834	-11.833	13.732
-11.631	-11.630	13.732
-11.377	-11.375	13.734
-11.108	-11.106	13.736
-10.997	-10.997	13.736
-10.715	-10.714	13.739
-10.488	-10.487	13.743
-10.443	-10.442	13.742
-10.332	-10.332	13.743
-10.164	-10.163	13.744
-10.062	-10.060	13.745
-9.961	-9.961	13.746
-9.854	-9.854	13.746
-9.752	-9.750	13.750
-9.700	-9.699	13.748
-9.486	-9.484	13.752
-9.344	-9.344	13.752
-9.226	-9.226	13.753
-9.055	-9.054	13.754
-8.933	-8.933	13.757
-8.700	-8.700	13.758
-8.553	-8.553	13.759
-8.289	-8.288	13.762
-8.021	-8.021	13.765
-7.967	-7.966	13.763
-7.805	-7.804	13.766
-7.675	-7.675	13.767
-7.477	-7.476	13.769
-7.378	-7.378	13.769
-7.305	-7.304	13.770
-7.086	-7.086	13.774
-6.916	-6.917	13.779
-6.782	-6.782	13.562
-6.627	-6.627	13.285
-6.591	-6.590	13.171
-6.438	-6.437	12.930
-6.335	-6.336	12.703
-6.334	-6.334	12.628
-6.334	-6.335	12.632
-5.843	-5.844	11.991
-5.504	-5.504	11.202
-5.392	-5.392	10.780
-5.189	-5.189	10.435
-5.063	-5.065	10.127
-4.930	-4.929	9.880
-4.803	-4.804	9.605
-4.625	-4.626	9.304
-4.427	-4.429	8.947
-4.346	-4.345	8.720
-4.221	-4.221	8.475
-4.065	-4.065	8.148
-3.992	-3.993	8.017
-3.960	-3.961	7.889
-3.900	-3.900	7.833
-3.394	-3.394	6.854
-3.394	-3.394	6.746
-3.321	-3.321	6.605
-3.146	-3.147	6.376
-2.941	-2.941	5.927
-2.753	-2.755	5.590
-2.569	-2.570	5.207
-2.589	-2.589	5.128
-2.590	-2.590	5.131
-2.373	-2.373	4.829
-2.157	-2.158	4.418
-2.054	-2.054	4.135
-1.941	-1.942	3.860
-1.769	-1.770	3.565
-1.684	-1.685	3.371
-1.528	-1.528	3.061
-1.405	-1.405	2.826
-1.248	-1.250	2.517
-1.094	-1.096	2.251
-0.989	-0.989	1.981
-0.841	-0.842	1.704
-0.725	-0.727	1.426
-0.542	-0.544	1.143
-0.343	-0.345	0.793
-0.158	-0.159	0.394
