Time (S)	CHA (V)	CH1 (V)	CH2 (V)	CH3 (V)
3.575	-0.999	0.256	-0.111	0.667
3.601	-0.999	0.272	-0.137	0.665
3.626	-0.999	0.285	-0.157	0.663
3.650	-0.999	0.290	-0.175	0.676
3.675	-0.999	0.298	-0.182	0.783
3.700	-0.999	0.268	-0.189	0.888
3.726	-0.999	0.229	-0.182	0.985
3.750	-1.000	0.176	-0.169	1.034
3.775	-0.999	0.136	-0.148	1.126
3.800	-0.999	0.062	-0.140	1.189
3.825	-0.999	0.016	-0.109	1.266
3.850	-1.000	-0.055	-0.078	1.288
3.876	-1.000	-0.105	-0.027	1.323
3.900	-0.999	-0.153	0.008	1.311
3.925	-0.999	-0.161	0.033	1.277
3.950	-0.999	-0.198	0.046	1.270
3.976	-1.000	-0.209	0.071	1.273
4.000	-0.999	-0.221	0.087	1.274
4.025	-1.000	-0.222	0.101	1.278
4.050	-0.999	-0.244	0.108	1.271
4.075	-0.999	-0.240	0.123	1.265
4.100	1.001	-0.331	0.129	1.184
4.126	1.001	-0.718	0.282	1.079
4.150	1.001	-0.965	0.515	0.877
4.175	1.001	-1.113	0.720	0.549
4.200	1.001	-1.172	0.850	0.181
4.226	1.001	-1.115	0.904	-0.301
4.250	1.001	-0.996	0.911	-0.700
4.275	1.001	-0.787	0.895	-1.211
4.300	1.001	-0.541	0.757	-1.705
4.325	1.001	-0.221	0.489	-2.041
4.350	1.001	0.054	0.221	-2.204
4.376	1.000	0.321	-0.020	-2.236
4.400	1.001	0.492	-0.184	-2.196
4.425	1.000	0.645	-0.331	-2.194
4.450	1.001	0.739	-0.462	-2.050
4.476	1.000	0.783	-0.560	-1.794
4.500	1.000	0.749	-0.593	-1.474
4.525	1.001	0.666	-0.597	-1.115
4.550	1.001	0.508	-0.576	-0.821
4.575	1.001	0.348	-0.521	-0.540
4.601	1.001	0.146	-0.363	-0.330
4.626	1.001	-0.047	-0.192	-0.184
4.650	1.001	-0.205	-0.034	-0.129
4.675	1.001	-0.324	0.090	-0.232
4.700	1.001	-0.428	0.184	-0.210
4.725	1.001	-0.500	0.265	-0.209
4.750	1.001	-0.558	0.330	-0.303
4.775	1.001	-0.559	0.394	-0.451
4.800	1.001	-0.550	0.398	-0.645
4.825	1.001	-0.472	0.407	-0.843
4.850	1.001	-0.391	0.390	-1.104
4.876	1.000	-0.248	0.366	-1.344
4.900	1.001	-0.109	0.294	-1.515
