CH1 (V)	CH2 (V)	CH3 (V)
5.007	-0.017	-0.009
5.006	-0.015	-0.009
5.007	-0.016	-0.009
5.007	-0.017	-0.011
5.005	-0.017	-0.011
5.007	-0.014	-0.008
5.007	-0.014	-0.007
5.009	-0.009	-0.009
5.015	-0.005	-0.005
5.013	-0.004	-0.006
5.013	-0.002	-0.005
5.015	-0.001	-0.004
5.015	0.000	-0.004
5.015	-0.000	-0.004
5.015	-0.002	-0.004
5.015	0.001	-0.004
5.019	0.005	-0.004
5.019	0.006	-0.003
5.022	0.011	0.000
5.025	0.013	-0.000
5.027	0.016	0.002
5.028	0.018	0.002
5.028	0.017	0.003
5.025	0.014	0.002
5.032	0.021	0.004
5.026	0.017	0.000
5.018	0.008	0.000
5.026	0.012	0.003
5.026	0.014	0.004
5.027	0.016	0.002
5.024	0.013	0.002
5.024	0.014	0.000
5.024	0.014	0.002
5.023	0.014	0.002
5.024	0.012	0.000
5.024	0.006	0.001
5.020	0.002	-0.002
5.025	0.014	0.001
5.018	-0.002	-0.002
5.018	-0.002	-0.002
5.017	-0.002	-0.002
5.017	-0.001	-0.004
5.016	-0.003	-0.004
5.017	-0.004	-0.003
5.015	-0.006	-0.004
5.012	-0.013	-0.007
5.013	-0.010	-0.004
5.009	-0.015	-0.009
5.007	-0.015	-0.007
5.006	-0.017	-0.008
