Time (S)	CHA (V)	CH2 (V)	CH3 (V)
4.425	-1.999	0.244	-1.303
4.451	-1.999	0.243	-1.077
4.475	-1.999	0.244	-0.818
4.501	-1.999	0.230	-0.560
4.525	-1.998	0.227	-0.274
4.550	-1.999	0.213	0.062
4.575	-1.999	0.200	0.361
4.600	-1.999	0.179	0.699
4.625	-1.998	0.162	1.097
4.650	-1.999	0.138	1.450
4.675	-1.999	0.115	1.889
4.700	-1.999	0.088	2.309
4.725	-1.999	0.062	2.734
4.751	-1.999	0.025	3.218
4.776	-1.999	0.002	3.596
4.800	-1.999	-0.030	3.902
4.825	-1.999	-0.057	4.267
4.850	-1.998	-0.087	4.626
4.875	2.001	-0.132	4.959
4.900	2.001	-0.219	5.179
4.925	2.001	-0.293	5.383
4.950	2.001	-0.357	5.449
4.975	2.000	-0.404	5.369
5.000	2.001	-0.445	5.363
5.025	2.001	-0.471	5.036
5.050	2.001	-0.489	4.632
5.075	2.001	-0.490	4.040
5.101	2.001	-0.488	3.341
5.125	2.001	-0.466	2.673
5.150	2.001	-0.443	1.878
5.175	2.001	-0.406	0.951
5.200	2.001	-0.366	0.122
5.225	2.001	-0.317	-0.739
5.250	2.001	-0.265	-1.730
5.276	2.001	-0.201	-2.668
5.300	2.001	-0.147	-3.588
5.325	2.001	-0.080	-4.554
5.350	2.001	-0.016	-5.487
5.375	2.001	0.055	-6.411
5.401	2.001	0.121	-7.411
5.425	2.001	0.195	-8.184
5.451	2.001	0.261	-8.800
5.475	2.001	0.324	-9.244
5.500	2.001	0.375	-9.508
5.525	2.001	0.425	-9.653
5.551	2.001	0.460	-9.458
5.575	2.001	0.490	-9.547
5.600	2.001	0.508	-9.267
5.625	2.001	0.522	-8.950
5.650	2.000	0.521	-8.376
5.675	2.001	0.516	-7.785
5.701	2.001	0.491	-7.037
5.725	2.001	0.471	-6.271
5.751	2.001	0.428	-5.435
5.775	2.001	0.398	-4.575
5.800	2.001	0.347	-3.776
5.826	2.001	0.300	-2.822
5.850	2.001	0.239	-1.956
5.875	2.001	0.181	-0.942
5.900	2.001	0.119	-0.155
5.925	2.001	0.056	0.671
5.950	2.001	-0.008	1.567
5.975	2.001	-0.073	2.588
6.001	2.001	-0.149	3.532
6.025	2.001	-0.207	4.168
6.050	2.001	-0.276	4.720
6.075	2.001	-0.332	5.050
6.100	2.001	-0.384	5.184
6.125	2.001	-0.418	5.143
6.150	2.001	-0.453	5.140
6.176	2.001	-0.475	4.906
6.200	2.001	-0.491	4.473
6.225	2.001	-0.489	3.905
6.250	2.001	-0.483	3.278
6.275	2.001	-0.462	2.558
6.301	2.001	-0.437	1.649
6.325	2.001	-0.397	0.822
6.350	2.001	-0.357	-0.004
6.375	2.001	-0.308	-0.860
6.400	2.001	-0.257	-1.866
6.425	2.001	-0.192	-2.760
6.450	2.001	-0.139	-3.688
6.475	2.001	-0.067	-4.661
6.500	2.001	-0.008	-5.586
6.525	2.001	0.062	-6.504
6.550	2.001	0.129	-7.397
6.575	2.001	0.202	-8.226
6.601	2.001	0.263	-8.807
6.625	2.001	0.327	-9.215
6.650	2.001	0.377	-9.470
6.675	2.001	0.426	-9.374
6.700	2.001	0.455	-9.379
6.725	2.001	0.483	-9.251
6.751	2.001	0.496	-8.900
6.776	2.001	0.508	-8.333
6.800	2.001	0.499	-7.814
6.825	2.001	0.488	-7.069
6.850	2.001	0.461	-6.278
6.875	2.001	0.430	-5.483
6.901	2.001	0.382	-4.587
6.925	2.001	0.346	-3.778
6.950	2.001	0.294	-2.881
6.975	2.001	0.240	-1.976
7.000	2.001	0.181	-1.011
7.025	2.001	0.122	-0.192
7.050	2.001	0.054	0.630
7.076	2.001	-0.004	1.594
7.100	2.001	-0.073	2.532
7.125	2.001	-0.140	3.460
7.150	2.001	-0.210	4.098
7.175	2.001	-0.270	4.710
7.200	2.001	-0.332	5.036
7.225	2.001	-0.380	5.181
7.250	2.001	-0.422	5.126
7.275	2.001	-0.451	5.131
7.300	2.002	-0.478	4.893
7.325	2.001	-0.485	4.451
7.350	2.001	-0.491	3.882
7.375	2.001	-0.480	3.264
7.400	2.001	-0.464	2.517
7.425	2.001	-0.434	1.692
7.450	2.001	-0.399	0.833
7.476	2.001	-0.355	-0.032
7.500	2.001	-0.311	-0.877
7.526	2.001	-0.246	-1.910
7.551	2.001	-0.198	-2.812
7.575	2.001	-0.129	-3.732
7.600	2.001	-0.073	-4.668
7.626	2.001	0.002	-5.620
7.651	2.001	0.060	-6.541
7.675	2.001	0.131	-7.391
7.700	2.001	0.198	-8.238
7.725	2.001	0.271	-8.787
7.751	2.001	0.327	-9.245
7.775	2.001	0.382	-9.470
7.800	2.001	0.425	-9.337
7.825	2.001	0.461	-9.355
7.850	2.001	0.481	-9.251
7.875	2.001	0.503	-8.895
7.900	2.000	0.502	-8.340
7.925	2.001	0.505	-7.779
7.951	2.001	0.478	-7.010
7.975	2.001	0.466	-6.249
8.000	2.001	0.428	-5.492
8.026	2.001	0.392	-4.557
8.050	2.001	0.343	-3.779
8.075	2.001	0.297	-2.843
8.100	2.001	0.236	-1.960
8.125	2.001	0.184	-0.953
8.151	2.001	0.110	-0.104
8.175	2.001	0.056	0.660
8.200	2.001	-0.013	1.576
8.225	2.001	-0.069	2.582
8.250	2.001	-0.144	3.487
8.276	2.001	-0.211	4.166
8.300	2.001	-0.280	4.713
8.325	2.001	-0.328	5.050
8.350	2.001	-0.382	5.180
8.375	-1.999	-0.404	5.143
8.401	-1.999	-0.380	5.122
8.425	-1.999	-0.351	4.945
8.451	-1.999	-0.328	4.552
8.475	-1.999	-0.289	4.168
8.500	-1.999	-0.273	3.700
8.525	-1.999	-0.234	3.239
8.550	-1.999	-0.207	2.736
8.575	-1.999	-0.167	2.244
8.600	-1.999	-0.141	1.681
8.625	-1.998	-0.096	1.139
8.651	-1.999	-0.064	0.650
8.675	-1.999	-0.017	0.219
8.701	-1.999	0.012	-0.303
8.725	-1.999	0.059	-0.661
8.750	-1.999	0.087	-1.138
8.776	-1.999	0.133	-1.606
8.800	-1.999	0.158	-2.032
8.825	-1.999	0.200	-2.256
8.850	-1.999	0.224	-2.449
8.875	-1.999	0.258	-2.541
8.901	-1.999	0.273	-2.495
8.925	-1.999	0.297	-2.467
8.950	-1.999	0.305	-2.480
8.975	-1.999	0.316	-2.327
9.000	-1.999	0.318	-2.104
9.025	-1.999	0.321	-1.767
9.050	-1.999	0.305	-1.323
9.075	-1.999	0.298	-0.829
9.100	-1.999	0.271	-0.393
9.125	-1.999	0.259	0.113
9.151	-1.999	0.221	0.561
9.176	-1.999	0.202	1.156
9.200	-1.999	0.161	1.645
9.225	-1.999	0.138	2.299
9.251	-1.999	0.087	2.955
9.275	-1.999	0.054	3.568
9.300	-1.998	0.006	4.030
9.325	-1.998	-0.025	4.636
9.350	-1.999	-0.077	5.132
9.375	-1.999	-0.109	5.632
9.401	-1.999	-0.157	6.059
9.425	-1.999	-0.190	6.413
9.450	-1.999	-0.234	6.666
9.475	-1.999	-0.255	6.800
9.500	-1.999	-0.289	6.856
9.525	-1.999	-0.304	6.777
9.551	-1.999	-0.329	6.773
9.575	-1.999	-0.333	6.746
9.600	-1.999	-0.347	6.503
9.625	-1.999	-0.341	6.157
9.651	-1.999	-0.343	5.758
9.675	-1.999	-0.326	5.347
9.700	-1.999	-0.315	4.821
9.725	-1.999	-0.284	4.279
9.751	-1.999	-0.267	3.660
9.775	-1.999	-0.227	3.139
9.800	-1.999	-0.201	2.504
9.825	-1.999	-0.157	1.897
9.850	-1.999	-0.125	1.202
9.875	-1.999	-0.071	0.652
9.900	-1.999	-0.041	0.090
9.925	-1.999	0.014	-0.459
9.950	-1.999	0.046	-1.025
9.975	-1.999	0.102	-1.603
10.000	-1.999	0.135	-2.160
10.025	-1.999	0.187	-2.551
10.050	-1.999	0.218	-2.912
10.075	-1.999	0.264	-3.112
10.100	-1.999	0.288	-3.212
10.125	-1.999	0.323	-3.127
10.150	-1.999	0.330	-3.154
10.175	-1.999	0.352	-3.108
10.200	-1.999	0.355	-2.841
10.225	-1.999	0.363	-2.468
10.250	-1.999	0.352	-2.092
10.275	-1.999	0.350	-1.579
10.300	-1.999	0.322	-1.020
10.325	-1.999	0.310	-0.480
10.350	-1.999	0.271	0.094
10.375	-1.999	0.253	0.623
10.401	-1.999	0.197	1.317
10.425	-1.999	0.177	1.958
10.450	-1.999	0.125	2.668
10.475	-1.999	0.090	3.432
10.500	-1.999	0.035	3.971
10.525	-1.999	-0.001	4.688
10.550	-1.999	-0.061	5.241
10.576	-1.999	-0.099	5.873
10.600	-1.999	-0.154	6.353
10.625	-1.999	-0.192	6.752
10.651	-1.999	-0.248	7.104
10.675	-1.999	-0.272	7.296
10.701	-1.999	-0.314	7.388
10.725	-1.999	-0.328	7.321
10.750	-1.999	-0.357	7.314
10.775	-1.999	-0.364	7.241
10.801	-1.999	-0.381	6.925
10.825	-1.999	-0.373	6.604
10.850	-1.999	-0.375	6.140
10.875	-1.999	-0.353	5.698
10.901	-1.999	-0.346	5.043
10.925	-1.999	-0.313	4.481
10.950	-1.999	-0.293	3.803
10.975	-1.999	-0.247	3.144
11.001	-1.999	-0.217	2.412
11.025	-1.999	-0.166	1.761
11.050	-1.999	-0.130	1.007
11.075	-1.999	-0.073	0.412
11.100	-1.999	-0.036	-0.275
11.126	-1.999	0.024	-0.850
11.150	-1.999	0.060	-1.558
11.175	-1.999	0.123	-2.196
11.200	-1.999	0.162	-2.771
11.225	-1.999	0.219	-3.183
11.250	-1.999	0.254	-3.517
11.276	-1.999	0.304	-3.716
11.300	-1.999	0.327	-3.772
11.325	-1.999	0.358	-3.693
11.350	-1.999	0.373	-3.736
11.375	-1.999	0.393	-3.434
11.400	-1.999	0.391	-3.106
11.425	-1.999	0.397	-2.636
11.451	-1.999	0.378	-2.149
11.475	-1.999	0.373	-1.590
11.501	-1.999	0.340	-0.878
11.525	-1.999	0.322	-0.334
11.550	-1.999	0.279	0.282
11.575	-1.999	0.251	0.991
11.600	-1.999	0.201	1.659
11.625	-1.999	0.169	2.506
11.650	-1.999	0.108	3.267
11.675	-1.999	0.067	3.951
11.700	-1.999	0.005	4.727
11.725	-1.999	-0.040	5.381
11.751	-1.999	-0.106	6.033
11.775	-1.998	-0.144	6.626
11.800	-1.999	-0.203	7.049
11.825	-1.999	-0.241	7.456
11.850	-1.999	-0.292	7.718
11.875	2.001	-0.339	7.837
11.901	2.001	-0.435	7.752
11.925	2.001	-0.498	7.784
11.950	2.001	-0.564	7.624
11.975	2.001	-0.594	7.117
12.001	2.001	-0.622	6.559
