CH1 (V)	CH2 (V)	CH3 (V)
-13.466	-0.016	-0.008
-13.468	-0.017	-0.010
-12.306	-0.017	-0.011
-11.793	-0.018	-0.011
-11.292	-0.018	-0.009
-11.014	-0.015	-0.009
-10.607	-0.016	-0.009
-9.936	-0.016	-0.009
-9.332	-0.017	-0.010
-8.640	-0.019	-0.010
-7.698	-0.017	-0.009
-6.944	-0.017	-0.011
-5.358	-0.017	-0.009
-4.309	-0.015	-0.009
-3.448	-0.016	-0.009
-2.742	-0.015	-0.009
-2.143	-0.017	-0.010
-1.672	-0.016	-0.011
-1.011	-0.017	-0.011
-0.282	-0.013	-0.008
0.397	-0.017	-0.011
0.887	-0.006	-0.007
1.384	-0.004	-0.005
1.882	-0.007	-0.008
2.151	-0.011	-0.010
2.775	-0.015	-0.009
3.330	-0.016	-0.009
3.741	-0.004	-0.006
4.237	-0.011	-0.010
4.679	-0.005	-0.004
4.968	-0.007	-0.006
5.471	-0.004	-0.006
5.925	-0.003	-0.006
6.406	-0.002	-0.005
6.915	-0.002	-0.004
7.274	0.000	-0.005
7.711	-0.004	-0.006
8.225	-0.002	-0.006
8.372	-0.000	-0.004
8.927	0.000	-0.004
9.397	-0.000	-0.004
9.835	0.002	-0.005
10.348	0.000	-0.004
10.721	0.000	-0.004
11.213	0.002	-0.005
11.592	0.002	-0.004
12.070	0.005	-0.003
12.587	0.001	-0.005
13.100	0.003	-0.004
13.685	0.009	-0.001
